I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.75GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45446.2422 | Layer 1 | Epoch 1  |
|           100 |    44933.5742 | Layer 1 | Epoch 1  |
|           200 |    44120.4727 | Layer 1 | Epoch 1  |
|           300 |    43323.8906 | Layer 1 | Epoch 1  |
|           400 |    42513.7461 | Layer 1 | Epoch 1  |
|           500 |    41946.6602 | Layer 1 | Epoch 1  |
|           600 |    41302.3555 | Layer 1 | Epoch 1  |
|           700 |    40755.3438 | Layer 1 | Epoch 1  |
|           800 |    40235.2891 | Layer 1 | Epoch 1  |
|           900 |    39555.0039 | Layer 1 | Epoch 1  |
|          1000 |    39155.7969 | Layer 1 | Epoch 1  |
|          1100 |    38628.9766 | Layer 1 | Epoch 1  |
|          1200 |    38199.1016 | Layer 1 | Epoch 1  |
|          1300 |    38009.1172 | Layer 1 | Epoch 1  |
|          1400 |    37624.8047 | Layer 1 | Epoch 1  |
|          1500 |    37342.7344 | Layer 1 | Epoch 1  |
|          1600 |    36904.6641 | Layer 1 | Epoch 1  |
|          1700 |    36560.8555 | Layer 1 | Epoch 1  |
|          1800 |    36204.3281 | Layer 1 | Epoch 1  |
|          1900 |    36063.6992 | Layer 1 | Epoch 1  |
|          2000 |    35635.5508 | Layer 1 | Epoch 1  |
|          2100 |    35382.8633 | Layer 1 | Epoch 1  |
|          2200 |    35431.6602 | Layer 1 | Epoch 1  |
|          2300 |    35086.8438 | Layer 1 | Epoch 1  |
|          2400 |    34677.8672 | Layer 1 | Epoch 1  |
|          2500 |    34711.0273 | Layer 1 | Epoch 1  |
|          2600 |    34473.9062 | Layer 1 | Epoch 1  |
|          2700 |    34316.5078 | Layer 1 | Epoch 1  |
|          2800 |    33896.4219 | Layer 1 | Epoch 1  |
|          2900 |    33766.9531 | Layer 1 | Epoch 1  |
|          3000 |    33794.6406 | Layer 1 | Epoch 1  |
|          3100 |    33504.1875 | Layer 1 | Epoch 2  |
|          3200 |    33494.4297 | Layer 1 | Epoch 2  |
|          3300 |    33476.8672 | Layer 1 | Epoch 2  |
|          3400 |    33288.7227 | Layer 1 | Epoch 2  |
|          3500 |    33096.8594 | Layer 1 | Epoch 2  |
