I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.69GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45481.3516 | Layer 1 | Epoch 1  |
|           100 |    44577.9141 | Layer 1 | Epoch 1  |
|           200 |    43056.5391 | Layer 1 | Epoch 1  |
|           300 |    41782.9297 | Layer 1 | Epoch 1  |
|           400 |    40728.5078 | Layer 1 | Epoch 1  |
|           500 |    39642.7344 | Layer 1 | Epoch 1  |
|           600 |    39009.1484 | Layer 1 | Epoch 1  |
|           700 |    38194.8984 | Layer 1 | Epoch 1  |
|           800 |    37888.5859 | Layer 1 | Epoch 1  |
|           900 |    37079.6016 | Layer 1 | Epoch 1  |
|          1000 |    36352.3750 | Layer 1 | Epoch 1  |
|          1100 |    35949.6250 | Layer 1 | Epoch 1  |
|          1200 |    35613.0781 | Layer 1 | Epoch 1  |
|          1300 |    35456.5781 | Layer 1 | Epoch 1  |
|          1400 |    34876.3438 | Layer 1 | Epoch 1  |
|          1500 |    34771.0859 | Layer 1 | Epoch 1  |
|          1600 |    34190.9023 | Layer 1 | Epoch 1  |
|          1700 |    34056.6484 | Layer 1 | Epoch 1  |
|          1800 |    33699.8555 | Layer 1 | Epoch 1  |
|          1900 |    33578.5547 | Layer 1 | Epoch 1  |
|          2000 |    33361.7578 | Layer 1 | Epoch 1  |
|          2100 |    33149.7852 | Layer 1 | Epoch 1  |
|          2200 |    32795.8945 | Layer 1 | Epoch 1  |
|          2300 |    32579.7363 | Layer 1 | Epoch 1  |
|          2400 |    32650.7520 | Layer 1 | Epoch 1  |
|          2500 |    32382.0078 | Layer 1 | Epoch 1  |
|          2600 |    32422.5781 | Layer 1 | Epoch 1  |
|          2700 |    31980.8770 | Layer 1 | Epoch 1  |
|          2800 |    31809.4844 | Layer 1 | Epoch 1  |
|          2900 |    31853.1875 | Layer 1 | Epoch 1  |
|          3000 |    31528.2617 | Layer 1 | Epoch 1  |
|          3100 |    31512.9375 | Layer 1 | Epoch 2  |
|          3200 |    31475.5039 | Layer 1 | Epoch 2  |
|          3300 |    31236.6211 | Layer 1 | Epoch 2  |
|          3400 |    31141.8242 | Layer 1 | Epoch 2  |
|          3500 |    31226.0879 | Layer 1 | Epoch 2  |
|          3600 |    31250.9883 | Layer 1 | Epoch 2  |
|          3700 |    31233.7578 | Layer 1 | Epoch 2  |
|          3800 |    30841.3379 | Layer 1 | Epoch 2  |
|          3900 |    30803.0059 | Layer 1 | Epoch 2  |
|          4000 |    30332.9316 | Layer 1 | Epoch 2  |
|          4100 |    30451.5703 | Layer 1 | Epoch 2  |
|          4200 |    30482.7402 | Layer 1 | Epoch 2  |
|          4300 |    30242.9316 | Layer 1 | Epoch 2  |
|          4400 |    29890.5430 | Layer 1 | Epoch 2  |
|          4500 |    30211.9434 | Layer 1 | Epoch 2  |
|          4600 |    29642.9297 | Layer 1 | Epoch 2  |
|          4700 |    30156.5605 | Layer 1 | Epoch 2  |
|          4800 |    29736.8008 | Layer 1 | Epoch 2  |
|          4900 |    30024.8457 | Layer 1 | Epoch 2  |
|          5000 |    29648.3516 | Layer 1 | Epoch 2  |
|          5100 |    29775.7422 | Layer 1 | Epoch 2  |
