I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.72GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46078.3438 | Layer 1 | Epoch 1  |
|           100 |    38119.6719 | Layer 1 | Epoch 1  |
|           200 |    34198.0586 | Layer 1 | Epoch 1  |
|           300 |    32286.5918 | Layer 1 | Epoch 1  |
|           400 |    31465.9805 | Layer 1 | Epoch 1  |
|           500 |    30964.5117 | Layer 1 | Epoch 1  |
|           600 |    30334.4199 | Layer 1 | Epoch 1  |
|           700 |    30303.2383 | Layer 1 | Epoch 1  |
|           800 |    29591.6348 | Layer 1 | Epoch 1  |
|           900 |    29820.0547 | Layer 1 | Epoch 1  |
|          1000 |    29652.2969 | Layer 1 | Epoch 1  |
|          1100 |    29143.3789 | Layer 1 | Epoch 1  |
|          1200 |    28994.7578 | Layer 1 | Epoch 1  |
|          1300 |    28907.2520 | Layer 1 | Epoch 1  |
|          1400 |    28834.9688 | Layer 1 | Epoch 1  |
|          1500 |    28612.4512 | Layer 1 | Epoch 1  |
|          1600 |    28515.3691 | Layer 1 | Epoch 1  |
|          1700 |    28328.1680 | Layer 1 | Epoch 1  |
|          1800 |    28250.3848 | Layer 1 | Epoch 1  |
|          1900 |    27895.8340 | Layer 1 | Epoch 1  |
|          2000 |    28075.3301 | Layer 1 | Epoch 1  |
|          2100 |    27816.7832 | Layer 1 | Epoch 1  |
|          2200 |    27860.7422 | Layer 1 | Epoch 1  |
|          2300 |    27476.5000 | Layer 1 | Epoch 1  |
|          2400 |    27382.7773 | Layer 1 | Epoch 1  |
|          2500 |    27395.5566 | Layer 1 | Epoch 1  |
|          2600 |    27310.9688 | Layer 1 | Epoch 1  |
|          2700 |    27032.2324 | Layer 1 | Epoch 1  |
|          2800 |    27086.0215 | Layer 1 | Epoch 1  |
|          2900 |    27050.0273 | Layer 1 | Epoch 1  |
|          3000 |    26957.2070 | Layer 1 | Epoch 1  |
|          3100 |    26705.7363 | Layer 1 | Epoch 2  |
|          3200 |    26829.3828 | Layer 1 | Epoch 2  |
|          3300 |    26811.4883 | Layer 1 | Epoch 2  |
|          3400 |    26612.1445 | Layer 1 | Epoch 2  |
|          3500 |    26666.7012 | Layer 1 | Epoch 2  |
|          3600 |    26629.1680 | Layer 1 | Epoch 2  |
