I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.60GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45447.2500 | Layer 1 | Epoch 1  |
|           100 |    44907.5156 | Layer 1 | Epoch 1  |
|           200 |    44092.1250 | Layer 1 | Epoch 1  |
|           300 |    43272.0234 | Layer 1 | Epoch 1  |
|           400 |    42610.4688 | Layer 1 | Epoch 1  |
|           500 |    41934.1328 | Layer 1 | Epoch 1  |
|           600 |    41271.8242 | Layer 1 | Epoch 1  |
|           700 |    40720.9727 | Layer 1 | Epoch 1  |
|           800 |    40170.7148 | Layer 1 | Epoch 1  |
|           900 |    39796.5000 | Layer 1 | Epoch 1  |
|          1000 |    39239.7266 | Layer 1 | Epoch 1  |
|          1100 |    38926.9297 | Layer 1 | Epoch 1  |
|          1200 |    38297.9141 | Layer 1 | Epoch 1  |
|          1300 |    37826.5430 | Layer 1 | Epoch 1  |
|          1400 |    37605.1055 | Layer 1 | Epoch 1  |
|          1500 |    37174.1562 | Layer 1 | Epoch 1  |
|          1600 |    36898.1172 | Layer 1 | Epoch 1  |
|          1700 |    36824.5273 | Layer 1 | Epoch 1  |
|          1800 |    36298.1133 | Layer 1 | Epoch 1  |
|          1900 |    36183.9062 | Layer 1 | Epoch 1  |
|          2000 |    35535.7695 | Layer 1 | Epoch 1  |
|          2100 |    35470.3281 | Layer 1 | Epoch 1  |
|          2200 |    35087.4883 | Layer 1 | Epoch 1  |
|          2300 |    35011.4336 | Layer 1 | Epoch 1  |
|          2400 |    34779.3750 | Layer 1 | Epoch 1  |
|          2500 |    34775.6328 | Layer 1 | Epoch 1  |
|          2600 |    34355.8281 | Layer 1 | Epoch 1  |
|          2700 |    34399.7031 | Layer 1 | Epoch 1  |
|          2800 |    34160.0820 | Layer 1 | Epoch 1  |
|          2900 |    34081.3320 | Layer 1 | Epoch 1  |
|          3000 |    33691.2617 | Layer 1 | Epoch 1  |
|          3100 |    33748.2930 | Layer 1 | Epoch 2  |
|          3200 |    33669.7422 | Layer 1 | Epoch 2  |
|          3300 |    33203.5117 | Layer 1 | Epoch 2  |
|          3400 |    33324.5820 | Layer 1 | Epoch 2  |
|          3500 |    32946.8555 | Layer 1 | Epoch 2  |
|          3600 |    33007.8906 | Layer 1 | Epoch 2  |
|          3700 |    32658.1074 | Layer 1 | Epoch 2  |
|          3800 |    32572.9297 | Layer 1 | Epoch 2  |
|          3900 |    32382.1445 | Layer 1 | Epoch 2  |
|          4000 |    32358.4961 | Layer 1 | Epoch 2  |
|          4100 |    32260.3125 | Layer 1 | Epoch 2  |
|          4200 |    32265.1758 | Layer 1 | Epoch 2  |
|          4300 |    31943.6328 | Layer 1 | Epoch 2  |
|          4400 |    32119.4434 | Layer 1 | Epoch 2  |
|          4500 |    32171.1094 | Layer 1 | Epoch 2  |
|          4600 |    31958.1504 | Layer 1 | Epoch 2  |
|          4700 |    31490.8828 | Layer 1 | Epoch 2  |
|          4800 |    31448.3652 | Layer 1 | Epoch 2  |
|          4900 |    31642.0527 | Layer 1 | Epoch 2  |
|          5000 |    31382.8672 | Layer 1 | Epoch 2  |
|          5100 |    30902.2363 | Layer 1 | Epoch 2  |
|          5200 |    31172.4531 | Layer 1 | Epoch 2  |
|          5300 |    31174.1562 | Layer 1 | Epoch 2  |
|          5400 |    31108.1074 | Layer 1 | Epoch 2  |
|          5500 |    31025.4746 | Layer 1 | Epoch 2  |
|          5600 |    30721.1484 | Layer 1 | Epoch 2  |
|          5700 |    30525.6250 | Layer 1 | Epoch 2  |
|          5800 |    30558.0039 | Layer 1 | Epoch 2  |
|          5900 |    30616.6582 | Layer 1 | Epoch 2  |
|          6000 |    30770.7949 | Layer 1 | Epoch 2  |
|          6100 |    30341.0723 | Layer 1 | Epoch 2  |
|          6200 |    30405.5430 | Layer 1 | Epoch 3  |
|          6300 |    30237.9688 | Layer 1 | Epoch 3  |
|          6400 |    30276.5977 | Layer 1 | Epoch 3  |
|          6500 |    30061.6621 | Layer 1 | Epoch 3  |
|          6600 |    30057.7246 | Layer 1 | Epoch 3  |
|          6700 |    30122.8379 | Layer 1 | Epoch 3  |
|          6800 |    29960.7969 | Layer 1 | Epoch 3  |
|          6900 |    29814.3867 | Layer 1 | Epoch 3  |
|          7000 |    29915.6914 | Layer 1 | Epoch 3  |
|          7100 |    29601.5859 | Layer 1 | Epoch 3  |
|          7200 |    29682.6621 | Layer 1 | Epoch 3  |
|          7300 |    29564.7129 | Layer 1 | Epoch 3  |
|          7400 |    29530.6211 | Layer 1 | Epoch 3  |
|          7500 |    29638.2832 | Layer 1 | Epoch 3  |
|          7600 |    29491.4434 | Layer 1 | Epoch 3  |
|          7700 |    29498.9863 | Layer 1 | Epoch 3  |
|          7800 |    29199.7461 | Layer 1 | Epoch 3  |
|          7900 |    29286.7012 | Layer 1 | Epoch 3  |
|          8000 |    29465.7871 | Layer 1 | Epoch 3  |
|          8100 |    29071.0215 | Layer 1 | Epoch 3  |
|          8200 |    29190.8359 | Layer 1 | Epoch 3  |
|          8300 |    29269.9023 | Layer 1 | Epoch 3  |
|          8400 |    29142.7109 | Layer 1 | Epoch 3  |
|          8500 |    29139.1602 | Layer 1 | Epoch 3  |
