Wall time,Step,Value
1491381638.495369,999,0.9603225588798523
1491381757.848761,1999,0.9633548259735107
1491381877.166907,2999,0.9561290144920349
1491381993.14481,3999,0.9349032044410706
1491382109.172051,4999,0.8981935381889343
1491382225.531188,5999,0.7138709425926208
1491382341.703581,6999,0.47754839062690735
1491382458.823657,7999,0.42012903094291687
1491382575.213846,8999,0.38116130232810974
1491382691.588767,9999,0.3647741973400116
1491382808.073955,10999,0.34612902998924255
1491382924.529289,11999,0.3252258002758026
1491383041.035461,12999,0.317290335893631
1491383157.182144,13999,0.3065161406993866
1491383273.686612,14999,0.2973548471927643
1491383391.013238,15999,0.28929030895233154
1491383507.450939,16999,0.2794193625450134
1491383624.24486,17999,0.27380645275115967
1491383740.406933,18999,0.26761290431022644
1491383856.834752,19999,0.26606452465057373
1491383973.413556,20999,0.25632259249687195
1491384089.501335,21999,0.25374194979667664
1491384205.535135,22999,0.24606451392173767
1491384322.752146,23999,0.2421935498714447
1491384439.063598,24999,0.23864516615867615
1491384555.365678,25999,0.23587097227573395
1491384671.772185,26999,0.23141935467720032
1491384787.850863,27999,0.226774200797081
1491384904.299466,28999,0.2224516123533249
1491385020.39579,29999,0.22096773982048035
1491385136.683548,30999,0.2187741994857788
1491385254.104758,31999,0.21606451272964478
1491385370.766349,32999,0.20896774530410767
1491385486.978964,33999,0.21232257783412933
1491385603.988009,34999,0.208387091755867
1491385720.125887,35999,0.20316128432750702
1491385836.859991,36999,0.199032261967659
1491385953.506452,37999,0.20045161247253418
1491386071.280766,38999,0.19793547689914703
1491386188.431627,39999,0.19464516639709473
1491386304.548273,40999,0.1917419284582138
1491386421.210212,41999,0.19135484099388123
1491386537.300015,42999,0.18799999356269836
1491386654.020601,43999,0.18677419424057007
1491386770.297577,44999,0.1813548356294632
1491386887.27456,45999,0.18122580647468567
1491387004.569261,46999,0.18038709461688995
1491387120.658167,47999,0.17741934955120087
1491387237.514933,48999,0.17948387563228607
1491387353.927726,49999,0.17593547701835632
1491387470.666441,50999,0.16941934823989868
1491387587.000952,51999,0.16877418756484985
1491387703.751097,52999,0.1650322526693344
1491387820.249392,53999,0.16632257401943207
1491387937.596444,54999,0.1631612926721573
1491388054.283241,55999,0.15883870422840118
1491388170.593713,56999,0.16380645334720612
1491388287.480125,57999,0.15903225541114807
1491388403.893993,58999,0.1603870987892151
1491388520.600396,59999,0.1556774228811264
1491388636.906054,60999,0.15677419304847717
1491388753.643605,61999,0.15451613068580627
1491388871.680986,62999,0.15193548798561096
1491388988.54203,63999,0.1536128968000412
1491389104.851259,64999,0.15199999511241913
1491389221.965108,65999,0.15277419984340668
1491389338.480025,66999,0.15038709342479706
1491389455.294024,67999,0.14587096869945526
1491389572.041348,68999,0.1485806405544281
1491389689.764559,69999,0.14554838836193085
1491389806.780235,70999,0.1432258039712906
1491389923.404582,71999,0.14187096059322357
1491390040.532534,72999,0.14516128599643707
1491390157.068374,73999,0.14174193143844604
1491390274.067243,74999,0.14483870565891266
1491390390.733448,75999,0.14032258093357086
1491390507.918837,76999,0.14019355177879333
1491390625.910059,77999,0.14000000059604645
1491390742.945744,78999,0.13864515721797943
1491390858.301313,79999,0.1359354853630066
1491390973.402543,80999,0.1374838650226593
1491391088.693046,81999,0.1376774162054062
1491391203.760699,82999,0.1376774162054062
1491391319.224273,83999,0.13458064198493958
1491391434.26573,84999,0.13309676945209503
1491391550.134748,85999,0.13238710165023804
1491391665.375421,86999,0.13309676945209503
1491391780.293207,87999,0.1329677402973175
1491391895.941201,88999,0.13503225147724152
1491392011.015331,89999,0.1312258094549179
1491392126.597847,90999,0.13361290097236633
