Wall time,Step,Value
1491230643.251305,300,40239.9375
1491230713.183601,500,37820.4609375
1491230811.056908,800,35773.0703125
1491231111.033899,1700,33024.8359375
1491231178.611667,1900,33112.0625
1491231246.21658,2100,32590.91015625
1491231348.507667,2400,31797.47265625
1491231450.896742,2700,31545.69921875
1491231518.756567,2900,31380.0390625
1491231831.315248,3800,30398.1328125
1491231933.115541,4100,30077.1484375
1491231965.959903,4200,30033.7265625
1491232103.214001,4600,29669.08203125
1491232272.249138,5100,29283.755859375
1491232339.482415,5300,29410.84765625
1491232374.774523,5400,29148.482421875
1491232443.930435,5600,28834.69140625
1491232476.809134,5700,29188.109375
1491232545.755829,5900,28961.486328125
1491232910.705402,7000,28221.517578125
1491233311.661652,8100,27463.00390625
1491233349.284659,8200,27745.5859375
1491233385.602286,8300,27484.26953125
1491233544.403755,8700,27094.12109375
1491233664.880021,9000,27113.333984375
1491233706.352344,9100,26944.373046875
1491233942.262832,9800,26828.53515625
1491234039.686307,10100,26287.888671875
1491234188.180755,10500,26228.80078125
1491234223.443691,10600,26448.826171875
1491234256.677455,10700,26276.36328125
1491234485.587732,11400,26160.32421875
1491234552.144579,11600,25824.59375
1491234880.067252,12600,25470.564453125
1491234978.616264,12900,25314.029296875
1491235075.815076,13200,25435.0234375
1491235109.096764,13300,25170.439453125
1491235338.474709,14000,25270.654296875
1491235405.387075,14200,24797.9765625
1491235963.863073,15900,24180.892578125
1491235997.27546,16000,24258.396484375
1491236029.309305,16100,24316.341796875
1491236325.792032,17000,24216.736328125
1491236456.5914,17400,24021.880859375
1491236490.23579,17500,24034.353515625
1491236785.316739,18400,23592.37109375
1491236818.656803,18500,23579.82421875
1491236917.289377,18800,23358.4921875
1491237081.240251,19300,23468.271484375
1491237113.244143,19400,23394.48828125
1491237310.517427,20000,22996.755859375
1491237343.874404,20100,23178.72265625
1491237539.85586,20700,23065.142578125
1491237638.577074,21000,23059.123046875
1491237802.626234,21500,22887.96875
1491237934.634476,21900,22562.498046875
1491237966.641611,22000,23027.611328125
1491238065.344274,22300,22455.017578125
1491238098.689121,22400,22696.740234375
1491238197.492767,22700,22634.77734375
1491238262.867994,22900,22482.1171875
1491238460.233091,23500,22417.2109375
1491238492.210019,23600,22408.298828125
1491238525.54241,23700,22506.8671875
1491238557.525149,23800,22332.748046875
1491238689.559741,24200,22429.623046875
1491238788.27088,24500,21966.208984375
1491238853.619399,24700,22128.671875
1491239280.349023,26000,22223.763671875
1491239345.724033,26200,21929.1328125
1491239410.939914,26400,21758.359375
1491239772.065926,27500,21903.14453125
1491239837.357344,27700,21726.88671875
1491239870.694972,27800,21615.58984375
1491239936.048665,28000,21595.541015625
1491239969.366505,28100,21898.6484375
1491240100.011994,28500,21521.853515625
1491240198.582206,28800,21234.93359375
1491240329.2144,29200,21490.478515625
1491240494.397694,29700,21149.0390625
1491240559.670714,29900,21267.87890625
1491240591.583977,30000,21224.20703125
1491240658.22352,30200,21512.3046875
1491240920.725961,31000,21056.40625
1491240985.962964,31200,21001.484375
1491241051.323823,31400,20971.869140625
1491241116.549486,31600,21260.03125
1491241511.259908,32800,20969.013671875
1491241576.557691,33000,20929.4765625
1491241608.485255,33100,21026.28515625
1491241707.111168,33400,20859.591796875
1491241740.486783,33500,20733.62890625
1491241871.142988,33900,20961.1328125
1491241904.433806,34000,20549.556640625
1491241937.772292,34100,20712.685546875
