Wall time,Step,Value
1491476219.750314,100800,17861.537109375
1491476316.16421,101100,17789.513671875
1491477281.448845,104100,17354.71484375
1491477345.541552,104300,17754.982421875
1491477731.318016,105500,17730.421875
1491477827.73677,105800,17550.8046875
1491478020.995822,106400,17492.322265625
1491478052.695159,106500,17599.203125
1491478246.021172,107100,17928.28125
1491478374.287758,107500,17720.966796875
1491478857.351442,109000,17658.67578125
1491480176.559735,113100,17617.16015625
1491480240.684784,113300,17272.33203125
1491480819.789517,115100,17682.740234375
1491480852.379358,115200,17675.498046875
1491480916.626199,115400,17721.330078125
1491480980.682709,115600,17593.34765625
1491481238.338235,116400,17664.21875
1491481399.156324,116900,17569.19140625
1491481592.404101,117500,17700.095703125
1491481881.551808,118400,17712.638671875
1491482203.346588,119400,17753.625
1491482429.246894,120100,17261.384765625
1491482718.360228,121000,17835.55859375
1491482879.346285,121500,17283.302734375
1491483072.819918,122100,17645.099609375
1491483458.621678,123300,17454.88671875
1491483652.013871,123900,17547.990234375
1491483716.216189,124100,17793.2109375
1491483780.288592,124300,17332.365234375
1491483909.562737,124700,17535.802734375
1491484006.17499,125000,17279.35546875
1491484167.185227,125500,17587.74609375
1491484392.201743,126200,17219.630859375
1491484520.564934,126600,17410.296875
1491484843.30493,127600,17524.25
1491484939.165897,127900,17702.76171875
1491485196.894231,128700,17405.501953125
1491485680.187035,130200,17877.484375
1491485841.124103,130700,17492.2734375
1491485905.344492,130900,17728.26953125
1491486033.674305,131300,17325.994140625
1491486066.258101,131400,17617.41015625
1491486484.757915,132700,17587.453125
1491487322.077659,135300,17318.88671875
1491488081.069082,137600,17790.275390625
1491488965.717721,140200,17497.171875
1491489333.088232,141200,17709.705078125
1491489372.093727,141300,17646.271484375
1491489408.245316,141400,16710.625
1491489512.282384,141700,17347.48828125
1491489576.638646,141900,17300.59765625
1491489678.844093,142200,17371.494140625
1491489717.211508,142300,17096.8828125
1491489791.063606,142500,17417.87890625
1491490535.544466,144600,17550.849609375
1491490969.004593,145800,17063.13671875
1491491113.250879,146200,17401.06640625
1491491383.643349,147000,16994.123046875
1491491663.409873,147800,17427.244140625
1491491698.017194,147900,17498.84375
1491491730.810506,148000,17005.193359375
1491491924.595718,148600,17743.861328125
1491492055.501738,149000,17763.947265625
1491492798.313482,151100,17008.19140625
1491493104.432065,152000,17186.69140625
1491493431.68029,153000,17307.201171875
1491493875.212317,154300,16993.92578125
1491493908.060149,154400,17573.796875
1491493940.122135,154500,16855.8515625
1491494075.392034,154900,17647.119140625
1491494926.304068,157500,17300.525390625
1491494996.401026,157700,17286.85546875
1491495223.457096,158400,17292.53515625
1491495646.43991,159700,17190.62109375
1491495776.931267,160100,17088.125
1491496297.482725,161700,17635.78125
1491496362.372602,161900,16974.23828125
1491496459.976379,162200,17035.974609375
1491496491.984549,162300,17182.6953125
1491496589.764892,162600,17081.67578125
1491496654.704785,162800,17307.09765625
1491496785.106927,163200,17344.515625
1491497077.088313,164100,17503.7109375
1491497142.946928,164300,17109.74609375
1491497272.565871,164700,17138.0234375
1491497305.480743,164800,16998.650390625
1491497435.077988,165200,17305.958984375
1491497597.467983,165700,17246.421875
1491497767.850735,166200,17283.275390625
1491499079.243947,170000,17329.208984375
1491499746.826998,172000,17876.3515625
1491500376.42243,173900,16990.9453125
1491500476.019992,174200,17124.171875
1491500741.678595,175000,17225.8984375
1491500973.50527,175700,17286.5078125
1491501670.535335,177800,17947.951171875
1491501803.669062,178200,17310.326171875
1491501836.2566,178300,17692.666015625
1491501903.258552,178500,17150.34375
1491502001.915831,178800,17482.1484375
1491502069.00442,179000,17421.1015625
1491502366.742253,179900,17308.349609375
1491502499.981992,180300,17317.79296875
1491502764.446249,181100,17155.57421875
1491502864.136345,181400,17434.814453125
1491502931.329988,181600,17435.03515625
1491502963.792086,181700,17459.3125
1491503063.704315,182000,17091.12109375
1491504057.522806,185000,17242.4765625
1491504124.654244,185200,17085.126953125
1491504588.479637,186600,17258.20703125
1491504754.154691,187100,16763.92578125
1491504919.788859,187600,17193.546875
1491505284.652419,188700,17170.994140625
1491505715.517783,190000,16996.298828125
1491505748.925447,190100,17042.0390625
1491505815.250815,190300,17146.38671875
1491505981.047403,190800,17202.275390625
1491506378.488822,192000,17095.28125
1491506942.546326,193700,17008.86328125
1491507141.04864,194300,17091.943359375
1491507373.854223,195000,17169.337890625
1491507771.164251,196200,16894.140625
1491507837.418983,196400,17300.03125
1491508368.430084,198000,16844.615234375
1491508567.809601,198600,16810.201171875
1491508640.933861,198800,17099.607421875
1491508822.337409,199300,17332.24609375
1491508878.602963,199400,16918.80859375
1491509530.306397,201000,17341.677734375
1491510043.197578,202500,17797.353515625
1491510572.787947,204100,17232.55078125
1491510905.704541,205100,17458.771484375
1491511009.130899,205400,17230.982421875
1491511287.652762,206200,17144.755859375
1491511746.823987,207600,16897.75
1491511949.79568,208200,16272.576171875
1491512079.605023,208600,17518.69140625
1491512210.047884,209000,17179.85546875
1491512310.761159,209300,17320.361328125
1491512377.421519,209500,17074.900390625
1491512837.540342,210900,17319.919921875
1491512902.279808,211100,17215.6015625
1491513712.760138,213500,16625.693359375
1491514125.671349,214700,16968.865234375
1491514751.117941,216600,17147.560546875
1491515047.746849,217500,16858.1015625
1491515079.863251,217600,17546.689453125
1491515210.839311,218000,17198.541015625
1491515278.864222,218200,17181.19921875
1491515560.104717,219000,17059.609375
1491515592.984483,219100,17332.775390625
1491515661.875719,219300,17079.1953125
1491515729.549866,219500,17499.05859375
1491515762.289312,219600,17270.98828125
1491516118.048065,220600,16990.40234375
1491516427.004739,221500,17253.353515625
1491516659.088154,222200,16667.0625
1491516790.383432,222600,16980.625
1491517510.205062,224800,17327.2421875
1491517803.187539,225700,17207.376953125
1491518160.73826,226800,17165.994140625
1491518192.714448,226900,17065.19921875
1491518290.349963,227200,17023.57421875
1491518323.281545,227300,17409.171875
1491518517.714772,227900,17389.861328125
1491518550.617811,228000,17338.896484375
1491518908.365611,229100,16721.173828125
1491519460.191892,230800,16937.7734375
1491519590.943333,231200,17061.7578125
1491519687.599977,231500,16964.685546875
1491519980.451818,232400,16806.111328125
1491520402.962543,233700,17043.662109375
1491520629.979646,234400,17235.4765625
1491521183.135094,236100,17010.548828125
1491522423.539028,239900,17261.296875
1491523015.897625,241700,17039.484375
1491523049.273391,241800,17316.8125
1491523444.029209,243000,16742.322265625
1491523611.851099,243500,16946.2265625
1491523810.495072,244100,16993.322265625
1491524738.632926,246700,17129.318359375
1491524770.766397,246800,17030.728515625
1491524838.09987,247000,17175.439453125
1491525045.416613,247600,17223.40625
1491525111.4242,247800,16990.80078125
1491526064.101669,250700,16614.27734375
1491526097.311152,250800,17217.1796875
1491526261.254475,251300,17444.67578125
1491526654.326075,252500,16414.166015625
1491526981.951602,253500,16796.115234375
1491527047.378985,253700,17150.806640625
1491527179.131753,254100,17330.97265625
1491527309.886868,254500,17099.818359375
1491527408.410952,254800,17270.91015625
1491527540.250874,255200,17370.2890625
1491527572.481062,255300,17592.5390625
1491527637.632075,255500,17296.578125
1491527736.319182,255800,17330.53125
1491528064.654672,256800,16898.70703125
1491528294.500861,257500,16941.72265625
1491528459.515163,258000,16687.888671875
1491528755.066809,258900,17084.796875
1491528821.327962,259100,17129.8046875
1491528887.375285,259300,16880.814453125
1491528919.564513,259400,16852.6484375
1491529083.128559,259900,16059.212890625
1491529313.367318,260600,17019.99609375
1491529575.513172,261400,16873.63671875
1491529705.839137,261800,17067.318359375
1491529968.311724,262600,17208.2734375
1491530558.10451,264400,16922.22265625
1491530755.279544,265000,17187.6796875
1491531183.988759,266300,17065.650390625
1491531252.802134,266500,16911.232421875
1491531533.710274,267300,17169.03515625
1491532046.75311,268800,16835.119140625
1491532082.511226,268900,17524.98828125
1491532539.037415,270200,17385.583984375
1491532836.848531,271100,17303.654296875
1491532902.914403,271300,17064.6796875
1491532970.437863,271500,17009.251953125
1491533144.611897,272000,16700.61328125
1491533178.413425,272100,16825.42578125
1491533422.283717,272800,16569.521484375
1491533490.200266,273000,16719.88671875
1491533695.43624,273600,16915.6640625
1491533801.229372,273900,17176.296875
1491533972.991783,274400,16559.951171875
1491534215.038984,275100,17033.033203125
1491534489.965614,275900,16467.521484375
1491535129.491102,277700,16981.076171875
1491535201.346741,277900,16766.29296875
1491535416.421996,278500,16856.193359375
1491535582.222951,279000,17138.86328125
1491535681.179664,279300,17034.140625
1491535747.763369,279500,16647.1484375
1491535912.744322,280000,17438.994140625
1491536076.880788,280500,16810.236328125
1491536176.079572,280800,16890.373046875
1491536307.036442,281200,16894.10546875
1491536405.686063,281500,16959.779296875
1491536504.740703,281800,17057.140625
1491537063.705176,283500,16765.130859375
1491537162.741573,283800,16470.517578125
1491537524.730972,284900,16944.0078125
1491537721.352111,285500,17002.78515625
1491537886.376206,286000,16624.1640625
1491537919.87405,286100,17172.7109375
1491538056.064309,286500,17199.658203125
1491538254.428309,287100,17159.0234375
1491538418.908404,287600,16965.48828125
1491538716.502717,288500,16854.3046875
1491538946.483493,289200,16936.525390625
1491539046.4417,289500,16626.5703125
1491539211.060034,290000,16802.126953125
1491539408.854336,290600,16748.78515625
1491539948.8476,292100,16730.34765625
1491541340.340368,296300,16803.474609375
1491541470.624843,296700,16808.490234375
1491541568.697286,297000,16589.171875
1491541633.936604,297200,16934.05859375
1491541765.295443,297600,16763.71484375
1491541895.7203,298000,17179.65625
1491541960.983599,298200,16742.560546875
1491542517.48738,299900,17134.095703125
1491542614.700574,300200,16724.04296875
1491542974.61616,301300,17188.84765625
1491543596.260014,303200,16831.80859375
1491543858.092845,304000,16811.17578125
1491544249.683266,305200,16620.955078125
1491544314.887765,305400,16709.806640625
1491544478.196803,305900,16741.19921875
1491544511.333707,306000,17203.74609375
1491544544.45095,306100,17099.328125
1491544609.449826,306300,16845.126953125
1491544969.364255,307400,17013.11328125
1491545066.548663,307700,17007.310546875
1491545361.180591,308600,17080.703125
1491545459.31844,308900,16860.48046875
1491545785.956263,309900,17413.751953125
1491545851.158734,310100,16884.26171875
1491545949.177469,310400,16743.95703125
1491545982.276044,310500,17218.890625
1491546407.342277,311800,16870.77734375
1491546765.88724,312900,16950.916015625
1491546897.392564,313300,16958.873046875
1491547485.570107,315100,17182.857421875
1491547910.422422,316400,16841.54296875
1491548171.923523,317200,17322.318359375
1491548498.553761,318200,17088.017578125
1491549282.013981,320600,16948.26953125
1491549315.103251,320700,17304.796875
1491550459.52536,324200,17050.822265625
1491550817.829963,325300,17105.849609375
1491551275.867426,326700,16748.1953125
1491551504.352741,327400,16992.978515625
1491551569.652574,327600,16791.955078125
1491551799.238059,328300,16820.86328125
1491551994.601802,328900,16910.80859375
1491552027.680426,329000,17043.228515625
1491552321.317761,329900,16701.96484375
1491552354.349315,330000,16616.087890625
1491552485.844801,330400,16429.05078125
1491552649.278741,330900,16790.732421875
1491552942.85167,331800,16766.15625
1491552975.94907,331900,16989.05859375
1491553007.904774,332000,17087.05859375
1491553367.892246,333100,16516.83984375
1491553499.109504,333500,17446.1484375
1491553727.032313,334200,16832.91796875
1491554444.68523,336400,17228.626953125
1491554804.111296,337500,16887.841796875
1491554868.950757,337700,17010.609375
1491554967.227497,338000,16955.73828125
1491555587.978932,339900,17198.416015625
1491555816.430042,340600,16983.83203125
1491555979.708717,341100,16634.08984375
1491556012.716978,341200,16790.400390625
1491556175.94162,341700,17374.705078125
1491556535.445559,342800,16563.212890625
1491556665.597872,343200,16550.3515625
1491556698.647504,343300,16718.380859375
1491557220.350304,344900,17136.033203125
1491557286.574457,345100,16670.935546875
1491557548.195373,345900,16792.943359375
1491557645.229777,346200,16672.623046875
1491557972.896689,347200,16507.341796875
1491558625.956653,349200,17187.83203125
1491558658.152043,349300,16814.34375
1491558821.480359,349800,17119.41796875
1491558985.681616,350300,16423.6875
1491559017.880815,350400,16435.23046875
1491559214.209546,351000,16836.46484375
1491559409.35292,351600,16957.359375
1491559573.782663,352100,16884.234375
1491560650.934992,355400,16818.158203125
1491560683.0025,355500,17642.12890625
1491561010.472248,356500,16867.89453125
1491561042.592275,356600,16923.720703125
1491561173.776041,357000,16792.74609375
1491561205.912231,357100,16989.95703125
1491561402.362257,357700,16724.744140625
1491562023.29336,359600,16634.787109375
1491562088.475943,359800,17140.056640625
1491562513.394844,361100,16730.751953125
1491562742.03813,361800,17504.330078125
1491562775.125013,361900,16418.845703125
1491563068.574855,362800,16886.14453125
1491563296.856529,363500,16803.33203125
1491563591.540582,364400,16953.736328125
1491564179.666548,366200,16630.333984375
1491564244.998968,366400,16760.62109375
1491564376.169794,366800,16711.068359375
1491564571.707926,367400,16579.181640625
1491565062.67485,368900,16459.318359375
1491565356.233069,369800,16869.333984375
1491565748.435888,371000,16637.2265625
1491566206.602308,372400,16662.84765625
1491566696.684753,373900,16741.533203125
1491566828.220253,374300,17220.255859375
1491566860.080462,374400,16984.37890625
1491566991.482429,374800,17000.970703125
1491567121.758577,375200,16538.02734375
1491567186.777168,375400,16957.6640625
1491567252.960498,375600,16740.79296875
1491567644.977136,376800,16647.9453125
1491567678.043138,376900,16923.625
1491568429.274783,379200,17124.15625
1491568461.441845,379300,16826.94921875
1491568657.796463,379900,16574.171875
1491568821.144292,380400,17054.22265625
1491568886.102844,380600,16988.033203125
1491569212.647351,381600,17102.947265625
1491569474.37671,382400,17059.59375
1491569834.176867,383500,16614.146484375
1491570062.455556,384200,17213.28125
1491570225.828018,384700,17047.34375
1491570487.634728,385500,16454.671875
1491570717.071828,386200,16835.123046875
1491570748.979323,386300,16687.92578125
1491570782.1368,386400,16209.7529296875
1491570880.443719,386700,16781.849609375
1491571108.825596,387400,16858.66015625
1491571762.397358,389400,16807.87890625
1491571925.661508,389900,17009.5078125
1491572155.121362,390600,17122.318359375
1491573168.482069,393700,16933.0703125
1491573560.470277,394900,16743.2109375
1491573690.727386,395300,16887.650390625
1491573854.04805,395800,16863.171875
1491574083.625294,396500,16514.3046875
1491574247.089521,397000,16766.130859375
1491574574.011184,398000,17092.404296875
1491575195.404993,399900,17309.89453125
1491575879.842963,402000,16972.244140625
1491576075.991083,402600,16696.46484375
1491577022.570806,405500,16807.29296875
1491577152.629939,405900,16331.2841796875
1491577185.646006,406000,16788.45703125
1491577218.732217,406100,16654.6328125
1491577381.81276,406600,16798.3515625
1491577674.828931,407500,16583.83984375
1491578360.390818,409600,16889.611328125
1491578592.999388,410300,16721.5625
1491578739.734812,410700,16694.5859375
1491578851.065881,411000,16170.56640625
1491579295.251978,412200,17045.353515625
1491579809.486723,413700,16956.3046875
1491579941.504586,414100,16588.29296875
1491580105.503837,414600,16709.18359375
1491580629.631744,416200,17194.974609375
1491580761.591141,416600,16971.15234375
1491580793.611471,416700,16737.875
1491581352.16172,418400,16755.380859375
1491581417.738495,418600,16533.998046875
1491581450.932525,418700,16764.33203125
1491581516.200759,418900,17499.6640625
1491582040.696425,420500,17036.580078125
1491582269.456356,421200,16812.9375
1491583348.665767,424500,16501.306640625
1491583545.315988,425100,17213.962890625
1491583643.711456,425400,16199.603515625
1491583741.92935,425700,16824.546875
1491583807.223906,425900,16536.359375
1491583839.224053,426000,16969.501953125
1491583970.822232,426400,16866.68359375
