Wall time,Step,Value
1491068636.784943,300,44.80088806152344
1491068667.521659,500,42.63727951049805
1491068712.230878,800,39.467140197753906
1491068848.620193,1700,34.11975860595703
1491068878.619291,1900,33.178897857666016
1491068908.747342,2100,32.189388275146484
1491068954.10373,2400,31.41191864013672
1491068999.545134,2700,30.371187210083008
1491069029.521417,2900,30.164400100708008
1491069165.938154,3800,28.483516693115234
1491069211.338511,4100,27.943866729736328
1491069226.055402,4200,27.72968292236328
1491069286.808754,4600,27.280418395996094
1491069362.18952,5100,26.88117027282715
1491069392.223868,5300,26.798152923583984
1491069407.54786,5400,26.712696075439453
1491069437.527048,5600,26.541318893432617
1491069452.262278,5700,26.615692138671875
1491069482.957144,5900,26.35332489013672
1491069648.434279,7000,25.778621673583984
1491069814.654487,8100,25.407438278198242
1491069830.005988,8200,25.490249633789062
1491069844.713387,8300,25.329198837280273
1491069905.431124,8700,25.546342849731445
1491069950.812038,9000,25.15692901611328
1491069965.521249,9100,25.24888038635254
1491070071.775238,9800,25.142581939697266
1491070116.459657,10100,25.072200775146484
1491070177.272641,10500,24.999286651611328
1491070191.869539,10600,24.967931747436523
1491070207.253356,10700,24.95050048828125
1491070312.788097,11400,24.836673736572266
1491070343.451201,11600,24.788681030273438
1491070494.1848,12600,24.567502975463867
1491070539.626163,12900,24.738937377929688
1491070584.299418,13200,24.492477416992188
1491070599.680476,13300,24.525915145874023
1491070705.280108,14000,24.473833084106445
1491070736.013029,14200,24.417926788330078
1491070992.402908,15900,24.25995445251465
1491071007.77204,16000,24.381637573242188
1491071022.461874,16100,24.333768844604492
1491071158.658236,17000,24.064899444580078
1491071218.718865,17400,24.02219009399414
1491071234.10849,17500,24.100576400756836
1491071369.678056,18400,23.974430084228516
1491071385.068857,18500,24.009357452392578
1491071430.409484,18800,24.088563919067383
1491071505.889576,19300,23.901716232299805
1491071520.539753,19400,23.854944229125977
1491071611.348554,20000,23.66131591796875
1491071626.728943,20100,23.710311889648438
1491071716.884427,20700,23.774808883666992
1491071762.244913,21000,23.6807918548584
1491071837.707056,21500,23.628522872924805
1491071898.491525,21900,23.572214126586914
1491071913.136603,22000,23.64034080505371
1491071958.579859,22300,23.63673973083496
1491071973.869504,22400,23.646203994750977
1491072019.376985,22700,23.39761734008789
1491072049.430367,22900,23.42169952392578
1491072140.3012,23500,23.542173385620117
1491072154.927246,23600,23.491703033447266
1491072170.324339,23700,23.583158493041992
1491072185.059317,23800,23.359249114990234
1491072245.781081,24200,23.487428665161133
1491072291.235726,24500,23.513797760009766
1491072321.273324,24700,23.4166316986084
1491072517.725412,26000,23.19552230834961
1491072547.74746,26200,23.332643508911133
1491072577.868998,26400,23.137876510620117
1491072744.284738,27500,23.043834686279297
1491072774.312267,27700,22.95050621032715
1491072789.659288,27800,23.174760818481445
1491072819.777058,28000,23.118160247802734
1491072835.141203,28100,23.046106338500977
1491072895.266387,28500,22.91533088684082
1491072940.629895,28800,22.830087661743164
1491073000.781502,29200,22.902191162109375
1491073076.957601,29700,22.885448455810547
1491073107.081287,29900,22.91762924194336
1491073121.786509,30000,22.892955780029297
1491073152.495175,30200,22.747865676879883
1491073273.391601,31000,22.548677444458008
1491073303.461918,31200,22.630495071411133
1491073333.513477,31400,22.707685470581055
1491073363.633408,31600,22.812562942504883
1491073545.386262,32800,22.536710739135742
1491073575.478616,33000,22.576066970825195
1491073590.199274,33100,22.608949661254883
1491073635.573942,33400,22.534372329711914
1491073650.974539,33500,22.46072769165039
1491073711.011759,33900,22.478515625
1491073726.407752,34000,22.704179763793945
1491073741.828431,34100,22.510047912597656
1491073786.527331,34400,22.47530174255371
1491073801.948859,34500,22.46147918701172
1491073832.100332,34700,22.318281173706055
1491073847.415793,34800,22.372034072875977
1491073877.419938,35000,22.38098907470703
1491073968.334455,35600,22.40410614013672
1491073983.04372,35700,22.43397331237793
1491074013.736254,35900,22.291473388671875
1491074028.44196,36000,22.386119842529297
1491074058.5873,36200,22.20985221862793
1491074089.321677,36400,22.43914031982422
1491074119.443513,36600,22.4154052734375
1491074134.16516,36700,22.30512237548828
1491074149.527098,36800,22.372493743896484
1491074164.879637,36900,22.204055786132812
1491074194.925018,37100,22.171876907348633
1491074255.043871,37500,22.202953338623047
1491074315.988871,37900,22.115814208984375
1491074330.645674,38000,22.351791381835938
1491074361.404387,38200,22.153459548950195
1491074376.133088,38300,22.15069580078125
1491074391.45601,38400,22.144140243530273
1491074406.129658,38500,22.1791934967041
1491074421.496895,38600,22.21088218688965
1491074588.038701,39700,22.166629791259766
1491074633.547363,40000,21.902957916259766
1491074648.244706,40100,22.040315628051758
1491074663.628413,40200,22.053010940551758
1491074769.303458,40900,21.808732986450195
1491074799.346551,41100,21.987823486328125
1491074860.386386,41500,21.96261215209961
1491074905.808767,41800,21.86949920654297
1491074996.096739,42400,22.118671417236328
1491075011.553108,42500,21.561935424804688
1491075026.932668,42600,21.86988067626953
1491075071.784185,42900,21.90778350830078
