I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 15.34GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46077.7656 | Layer 1 | Epoch 1  |
|           100 |    38051.1758 | Layer 1 | Epoch 1  |
|           200 |    33914.1953 | Layer 1 | Epoch 1  |
|           300 |    32430.5703 | Layer 1 | Epoch 1  |
|           400 |    31336.7148 | Layer 1 | Epoch 1  |
|           500 |    30850.5293 | Layer 1 | Epoch 1  |
|           600 |    30377.4941 | Layer 1 | Epoch 1  |
|           700 |    29913.2891 | Layer 1 | Epoch 1  |
|           800 |    29768.0430 | Layer 1 | Epoch 1  |
|           900 |    29669.0117 | Layer 1 | Epoch 1  |
|          1000 |    29700.4297 | Layer 1 | Epoch 1  |
|          1100 |    29199.0469 | Layer 1 | Epoch 1  |
|          1200 |    29006.2383 | Layer 1 | Epoch 1  |
|          1300 |    28759.9141 | Layer 1 | Epoch 1  |
|          1400 |    28574.8477 | Layer 1 | Epoch 1  |
|          1500 |    28624.3984 | Layer 1 | Epoch 1  |
|          1600 |    28566.6211 | Layer 1 | Epoch 1  |
|          1700 |    28069.7812 | Layer 1 | Epoch 1  |
|          1800 |    28010.9961 | Layer 1 | Epoch 1  |
|          1900 |    27916.3574 | Layer 1 | Epoch 1  |
|          2000 |    27874.2480 | Layer 1 | Epoch 1  |
|          2100 |    27735.2363 | Layer 1 | Epoch 1  |
|          2200 |    27717.1914 | Layer 1 | Epoch 1  |
|          2300 |    27335.4434 | Layer 1 | Epoch 1  |
|          2400 |    27432.6426 | Layer 1 | Epoch 1  |
|          2500 |    27362.6855 | Layer 1 | Epoch 1  |
|          2600 |    27163.2246 | Layer 1 | Epoch 1  |
|          2700 |    27228.6875 | Layer 1 | Epoch 1  |
|          2800 |    27097.1328 | Layer 1 | Epoch 1  |
|          2900 |    26745.5215 | Layer 1 | Epoch 1  |
|          3000 |    27051.7070 | Layer 1 | Epoch 1  |
|          3100 |    26971.0898 | Layer 1 | Epoch 2  |
|          3200 |    26438.5508 | Layer 1 | Epoch 2  |
|          3300 |    26561.9844 | Layer 1 | Epoch 2  |
|          3400 |    26584.4980 | Layer 1 | Epoch 2  |
|          3500 |    26156.8398 | Layer 1 | Epoch 2  |
|          3600 |    26446.0645 | Layer 1 | Epoch 2  |
|          3700 |    25928.6445 | Layer 1 | Epoch 2  |
|          3800 |    26311.6680 | Layer 1 | Epoch 2  |
|          3900 |    26012.3164 | Layer 1 | Epoch 2  |
|          4000 |    26011.8828 | Layer 1 | Epoch 2  |
|          4100 |    25929.3945 | Layer 1 | Epoch 2  |
|          4200 |    25796.2109 | Layer 1 | Epoch 2  |
|          4300 |    25754.5391 | Layer 1 | Epoch 2  |
|          4400 |    25659.0664 | Layer 1 | Epoch 2  |
|          4500 |    25842.9023 | Layer 1 | Epoch 2  |
|          4600 |    25855.3652 | Layer 1 | Epoch 2  |
|          4700 |    25580.6191 | Layer 1 | Epoch 2  |
|          4800 |    25520.8730 | Layer 1 | Epoch 2  |
|          4900 |    25461.8984 | Layer 1 | Epoch 2  |
|          5000 |    25289.1270 | Layer 1 | Epoch 2  |
|          5100 |    25420.0898 | Layer 1 | Epoch 2  |
|          5200 |    25410.1152 | Layer 1 | Epoch 2  |
|          5300 |    25091.4492 | Layer 1 | Epoch 2  |
|          5400 |    25204.9082 | Layer 1 | Epoch 2  |
|          5500 |    25139.1680 | Layer 1 | Epoch 2  |
|          5600 |    25052.9727 | Layer 1 | Epoch 2  |
|          5700 |    25069.8242 | Layer 1 | Epoch 2  |
|          5800 |    25007.8535 | Layer 1 | Epoch 2  |
|          5900 |    24763.0352 | Layer 1 | Epoch 2  |
|          6000 |    24675.5332 | Layer 1 | Epoch 2  |
|          6100 |    24795.8887 | Layer 1 | Epoch 2  |
|          6200 |    24818.3555 | Layer 1 | Epoch 3  |
|          6300 |    24733.2246 | Layer 1 | Epoch 3  |
|          6400 |    24746.1523 | Layer 1 | Epoch 3  |
|          6500 |    24703.6738 | Layer 1 | Epoch 3  |
|          6600 |    24613.8438 | Layer 1 | Epoch 3  |
|          6700 |    24427.0820 | Layer 1 | Epoch 3  |
|          6800 |    24321.2500 | Layer 1 | Epoch 3  |
|          6900 |    24407.9453 | Layer 1 | Epoch 3  |
